District Name,County Name,Enrollment 2009-2010,Enrollment 2014-1015,5 year enrollment change,5 year enrollment change percent,I&S Tax Rate 2004,I&S Tax Rate 2014,2015 State Aid EDA,2015 Local Share EDA,2015 State Aid IFA,2015 Local Share IFA,2014 Debt Principal,2014 Debt Interest,2014 Total Debt Outstanding,Wealth per WADA,Chapter 41 2015/16
LANCASTER ISD,DALLAS COUNTY,6176.00,7052.00,876.00,0.14,0.39,0.33,2573322.00,3999284.00,0.00,0.00,91424663.00,82970893.00,174395556.00,181010.00,No
LEANDER ISD,WILLIAMSON COUNTY,30454.00,36211.00,5757.00,0.19,0.33,0.47,0.00,34988060.00,0.00,379027.00,1088319286.00,2369444927.00,3457764213.00,388816.00,Yes
LIBERTY HILL ISD,WILLIAMSON COUNTY,2568.00,3218.00,650.00,0.25,0.17,0.50,570.00,3139330.00,0.00,293068.00,112379926.00,107111769.00,219491695.00,305701.00,No
LITTLE ELM ISD,DENTON COUNTY,6112.00,6950.00,838.00,0.14,0.35,0.50,580351.00,4494658.00,208125.00,1264183.00,138589114.00,141176495.00,279765610.00,284387.00,No
LOCKHART ISD,CALDWELL COUNTY,4636.00,5365.00,729.00,0.16,0.20,0.39,172608.00,253728.00,745205.00,1139435.00,76029988.00,61120426.00,137150414.00,147665.00,No
LOVEJOY ISD,COLLIN COUNTY,3230.00,3828.00,598.00,0.19,0.32,0.50,0.00,3746841.00,0.00,0.00,147060471.00,115319829.00,262380300.00,400593.00,Yes
LUBBOCK-COOPER ISD,LUBBOCK COUNTY,3746.00,5314.00,1568.00,0.42,0.12,0.50,0.00,5092529.00,0.00,445840.00,120134785.00,152545893.00,272680678.00,317380.00,Yes
MANOR ISD,TRAVIS COUNTY,6932.00,8852.00,1920.00,0.28,0.33,0.48,0.00,8072287.00,0.00,0.00,173894999.00,103609840.00,277504839.00,324907.00,Yes
MEDINA VALLEY ISD,MEDINA COUNTY,3382.00,4218.00,836.00,0.25,0.15,0.35,452227.00,2029836.00,175546.00,1796656.00,55005572.00,44559578.00,99565150.00,238553.00,No
MIDLAND ISD,MIDLAND COUNTY,21374.00,24369.00,2995.00,0.14,0.14,0.10,0.00,8434100.00,0.00,184694.00,239926214.00,167227877.00,407154092.00,684615.00,Yes
MIDWAY ISD,MCLENNAN COUNTY,6883.00,7664.00,781.00,0.11,0.26,0.28,0.00,7441889.00,0.00,0.00,113324179.00,69889952.00,183214131.00,464049.00,Yes
MONTGOMERY ISD,MONTGOMERY COUNTY,6714.00,7936.00,1222.00,0.18,0.18,0.30,0.00,7633643.00,0.00,0.00,121803916.00,66504082.00,188307998.00,462395.00,Yes
NEEDVILLE ISD,FORT BEND COUNTY,2602.00,2925.00,323.00,0.12,0.16,0.56,1027100.00,1823454.00,562991.00,973934.00,56055000.00,31342880.00,87397880.00,180061.00,No
NEW CANEY ISD,MONTGOMERY COUNTY,9609.00,12979.00,3370.00,0.35,0.29,0.50,4961679.00,7241719.00,1884693.00,2763818.00,279004409.00,190719941.00,469724350.00,157945.00,No
NORTHSIDE ISD,BEXAR COUNTY,92335.00,103606.00,11271.00,0.12,0.26,0.34,0.00,98028236.00,0.00,2249966.00,1982870000.00,1207284137.00,3190154137.00,304076.00,No
NORTHWEST ISD,DENTON COUNTY,14164.00,19831.00,5667.00,0.40,0.32,0.41,0.00,19212298.00,0.00,740900.00,649366871.00,431457657.00,1080824528.00,492901.00,Yes
PAMPA ISD,GRAY COUNTY,3474.00,3838.00,364.00,0.10,0.06,0.27,0.00,2544978.00,0.00,779066.00,46265000.00,30356219.00,76621219.00,256941.00,No
PEARLAND ISD,BRAZORIA COUNTY,18308.00,20550.00,2242.00,0.12,0.29,0.38,3307251.00,16615825.00,38772.00,309642.00,291990767.00,135965078.00,427955844.00,243442.00,No
PRINCETON ISD,COLLIN COUNTY,2996.00,3790.00,794.00,0.27,0.33,0.45,2065638.00,1542388.00,942238.00,703563.00,85455068.00,81829442.00,167284510.00,115005.00,No
PROSPER ISD,COLLIN COUNTY,3637.00,7076.00,3439.00,0.95,0.45,0.50,0.00,6794099.00,0.00,210751.00,267875581.00,276221055.00,544096636.00,316843.00,No
RICHARDSON ISD,DALLAS COUNTY,34843.00,38618.00,3775.00,0.11,0.32,0.30,0.00,36615658.00,0.00,0.00,429804988.00,208850914.00,638655901.00,363590.00,Yes
ROUND ROCK ISD,WILLIAMSON COUNTY,43008.00,47251.00,4243.00,0.10,0.37,0.30,0.00,45488817.00,0.00,0.00,621720000.00,289461718.00,911181718.00,449698.00,Yes
ROYSE CITY ISD,ROCKWALL COUNTY,4450.00,5070.00,620.00,0.14,0.38,0.50,1650145.00,3178635.00,383232.00,631635.00,104123016.00,107267065.00,211390081.00,191364.00,No
SCHERTZ-CIBOLO-U CITY ISD,GUADALUPE COUNTY,11718.00,14638.00,2920.00,0.25,0.24,0.45,2772685.00,11322773.00,992665.00,3963415.00,292610515.00,281344561.00,573955076.00,248159.00,No
SEMINOLE ISD,GAINES COUNTY,2380.00,2831.00,451.00,0.19,0.06,0.26,0.00,2674080.00,0.00,0.00,68510000.00,33290500.00,101800500.00,1559584.00,Yes
SHELDON ISD,HARRIS COUNTY,6570.00,7963.00,1393.00,0.21,0.25,0.26,0.00,7398787.00,0.00,0.00,157160240.00,81703089.00,238863330.00,481409.00,Yes
SOUTHWEST ISD,BEXAR COUNTY,11531.00,13524.00,1993.00,0.17,0.14,0.43,398442.00,443262.00,3520818.00,4986559.00,235953289.00,188853162.00,424806451.00,112908.00,No
TOMBALL ISD,HARRIS COUNTY,10266.00,13238.00,2972.00,0.29,0.25,0.34,0.00,12797428.00,0.00,0.00,366490000.00,195632074.00,562122074.00,482292.00,Yes
TULOSO-MIDWAY ISD,NUECES COUNTY,3425.00,3884.00,459.00,0.13,0.25,0.30,0.00,3659596.00,0.00,0.00,74168636.00,35665568.00,109834204.00,444320.00,Yes
WALLER ISD,WALLER COUNTY,5407.00,6250.00,843.00,0.16,0.28,0.40,198338.00,4879231.00,0.00,2248569.00,76900000.00,41123241.00,118023241.00,255770.00,No
WAXAHACHIE ISD,ELLIS COUNTY,6924.00,7968.00,1044.00,0.15,0.23,0.26,0.00,7607837.00,0.00,1270445.00,115092537.00,131375575.00,246468111.00,293319.00,No
WHITE SETTLEMENT ISD,TARRANT COUNTY,6051.00,6664.00,613.00,0.10,0.18,0.50,1917722.00,4346834.00,536512.00,1056074.00,162623318.00,239420804.00,402044122.00,201948.00,No
WILLIS ISD,MONTGOMERY COUNTY,6264.00,6915.00,651.00,0.10,0.28,0.35,0.00,5376920.00,0.00,2603671.00,66528956.00,34225122.00,100754078.00,288193.00,No
WYLIE ISD,TAYLOR COUNTY,3281.00,3996.00,715.00,0.22,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349030.00,Yes
WYLIE ISD,COLLIN COUNTY,12063.00,14039.00,1976.00,0.16,0.30,0.47,3449328.00,10163188.00,458718.00,1512435.00,222529362.00,250309364.00,472838725.00,226498.00,No
