Region,County,District,District Name,Row,Staff,FTE Count,Total Base Pay,Average Base Pay
7,ANDERSON COUNTY,1903,ELKHART ISD,39998,TOTAL ADMINISTRATIVE STAFF,7.00,504626.00,72089.00
7,ANDERSON COUNTY,1903,ELKHART ISD,39999,TOTAL PROFESSIONAL STAFF,117.01,5200821.00,44448.00
7,ANDERSON COUNTY,1903,ELKHART ISD,41700,EDUCATIONAL AIDE,15.89,255806.00,16095.00
7,ANDERSON COUNTY,1903,ELKHART ISD,49998,TOTAL PARAPROFESSIONAL STAFF,15.89,255806.00,16095.00
7,ANDERSON COUNTY,1903,ELKHART ISD,50000,AUXILIARY,35.63,834501.00,23423.00
7,ANDERSON COUNTY,1903,ELKHART ISD,99999,TOTAL PERSONNEL,168.53,6291128.00,37330.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10002,PRE-KINDERGARTEN,1.00,34570.00,34570.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10003,KINDERGARTEN,3.00,123750.00,41250.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10006,ELEMENTARY (GRADES 1-6),1.00,30915.00,30918.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),2.25,99263.00,44133.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10009,ALL GRADE LEVELS,0.52,19174.00,36901.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10012,GRADE 1,3.50,162800.00,46449.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10013,GRADE 2,3.43,145071.00,42265.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10014,GRADE 3,3.31,106816.00,32256.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10015,GRADE 4,4.81,226107.00,47009.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10016,GRADE 5,3.50,164537.00,46976.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10017,GRADE 6,2.50,94731.00,37824.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10018,GRADE 7,3.14,126750.00,40420.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10019,GRADE 8,1.79,70143.00,39217.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,10020,GRADES 9-12,23.16,963558.00,41611.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,19998,TOTAL TEACHING STAFF,56.92,2368185.00,41609.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,21300,COUNSELOR,1.89,100320.00,53133.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,22800,OTHR NON-INSTR DISTRICT,1.00,72425.00,72425.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,23500,SCHOOL NURSE,1.89,66874.00,35419.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,29998,TOTAL SUPPORT STAFF,4.78,239619.00,50169.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,30200,ASSISTANT PRINCIPAL,1.00,45321.00,45321.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,30400,ASST/ASSOC/DEPUTY SUPERINTEND.,1.00,74212.00,74212.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,30500,ATHLETIC DIRECTOR,0.31,17320.00,55961.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,30800,BUSINESS MANAGER,1.00,61800.00,61800.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,33100,PRINCIPAL,3.00,206020.00,68673.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,116800.00,116800.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,39998,TOTAL ADMINISTRATIVE STAFF,7.31,521473.00,71342.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,39999,TOTAL PROFESSIONAL STAFF,69.00,3129277.00,45351.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,41700,EDUCATIONAL AIDE,13.00,224882.00,17299.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,49998,TOTAL PARAPROFESSIONAL STAFF,13.00,224882.00,17299.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,50000,AUXILIARY,33.55,745155.00,22210.00
7,ANDERSON COUNTY,1904,FRANKSTON ISD,99999,TOTAL PERSONNEL,115.55,4099314.00,35476.00
7,ANDERSON COUNTY,1906,NECHES ISD,10003,KINDERGARTEN,2.18,74090.00,34016.00
7,ANDERSON COUNTY,1906,NECHES ISD,10006,ELEMENTARY (GRADES 1-6),2.32,113065.00,48657.00
7,ANDERSON COUNTY,1906,NECHES ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),0.95,45873.00,48481.00
7,ANDERSON COUNTY,1906,NECHES ISD,10009,ALL GRADE LEVELS,1.44,57020.00,39672.00
7,ANDERSON COUNTY,1906,NECHES ISD,10012,GRADE 1,2.04,87318.00,42902.00
7,ANDERSON COUNTY,1906,NECHES ISD,10013,GRADE 2,2.04,96301.00,47315.00
7,ANDERSON COUNTY,1906,NECHES ISD,10014,GRADE 3,2.04,69503.00,34147.00
7,ANDERSON COUNTY,1906,NECHES ISD,10015,GRADE 4,2.04,69240.00,34018.00
7,ANDERSON COUNTY,1906,NECHES ISD,10016,GRADE 5,2.04,82173.00,40372.00
7,ANDERSON COUNTY,1906,NECHES ISD,10017,GRADE 6,2.20,94798.00,43186.00
7,ANDERSON COUNTY,1906,NECHES ISD,10018,GRADE 7,2.11,78430.00,37215.00
7,ANDERSON COUNTY,1906,NECHES ISD,10019,GRADE 8,1.65,66344.00,40245.00
7,ANDERSON COUNTY,1906,NECHES ISD,10020,GRADES 9-12,11.70,554470.00,47392.00
7,ANDERSON COUNTY,1906,NECHES ISD,19998,TOTAL TEACHING STAFF,34.71,1488625.00,42884.00
7,ANDERSON COUNTY,1906,NECHES ISD,21300,COUNSELOR,0.88,49218.00,55866.00
7,ANDERSON COUNTY,1906,NECHES ISD,23500,SCHOOL NURSE,1.00,37872.00,37872.00
7,ANDERSON COUNTY,1906,NECHES ISD,29998,TOTAL SUPPORT STAFF,1.88,87090.00,46300.00
7,ANDERSON COUNTY,1906,NECHES ISD,33100,PRINCIPAL,2.00,140418.00,70209.00
7,ANDERSON COUNTY,1906,NECHES ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,0.40,37427.00,92458.00
7,ANDERSON COUNTY,1906,NECHES ISD,39998,TOTAL ADMINISTRATIVE STAFF,2.40,177845.00,73954.00
7,ANDERSON COUNTY,1906,NECHES ISD,39999,TOTAL PROFESSIONAL STAFF,39.00,1753560.00,44965.00
7,ANDERSON COUNTY,1906,NECHES ISD,41700,EDUCATIONAL AIDE,4.00,72841.00,18210.00
7,ANDERSON COUNTY,1906,NECHES ISD,49998,TOTAL PARAPROFESSIONAL STAFF,4.00,72841.00,18210.00
7,ANDERSON COUNTY,1906,NECHES ISD,50000,AUXILIARY,17.89,420802.00,23518.00
7,ANDERSON COUNTY,1906,NECHES ISD,99999,TOTAL PERSONNEL,60.89,2247203.00,36905.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10002,PRE-KINDERGARTEN,11.00,451935.00,41085.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10003,KINDERGARTEN,18.00,799637.00,44416.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10006,ELEMENTARY (GRADES 1-6),3.41,149423.00,43877.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),4.11,215371.00,52437.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10009,ALL GRADE LEVELS,39.22,1672888.00,42652.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10012,GRADE 1,15.88,650793.00,40987.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10013,GRADE 2,16.94,718477.00,42403.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10014,GRADE 3,15.64,621912.00,39773.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10015,GRADE 4,12.75,505160.00,39621.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10016,GRADE 5,13.91,544193.00,39119.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10017,GRADE 6,15.77,669113.00,42428.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10018,GRADE 7,14.46,608744.00,42109.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10019,GRADE 8,13.43,549492.00,40918.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,10020,GRADES 9-12,73.49,3539274.00,48158.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,19998,TOTAL TEACHING STAFF,268.01,11696412.00,43642.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,21300,COUNSELOR,6.88,386607.00,56185.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,21400,DEPARTMENT HEAD,0.26,15091.00,57621.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,21800,EDUCATIONAL DIAGNOSTICIAN,3.00,164398.00,54799.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,22100,LIBRARIAN,1.89,71248.00,37783.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,22200,LSSP/PSYCHOLOGIST,1.00,41255.00,41255.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,22600,OTHER CAMP PROF PERSONNEL,5.58,322340.00,57733.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,22800,OTHR NON-INSTR DISTRICT,5.00,283186.00,56637.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,23500,SCHOOL NURSE,6.00,169897.00,28316.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,23600,SOCIAL WORKER,0.50,36022.00,72044.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,23800,SPEECH THRPST/SPEECH-LANG PATH,2.00,103600.00,51800.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,24400,TEACHER FACILITATOR,2.00,92980.00,46490.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,24600,TRUANT OFF/VISIT TEACHER,1.00,70051.00,70051.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,29998,TOTAL SUPPORT STAFF,35.11,1756675.00,50031.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,30200,ASSISTANT PRINCIPAL,7.00,473720.00,67674.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,30400,ASST/ASSOC/DEPUTY SUPERINTEND.,2.00,214006.00,107003.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,30800,BUSINESS MANAGER,1.00,92119.00,92119.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,31600,DIST INSTR PGM DIR OR EXC DIR,4.00,294983.00,73746.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,33100,PRINCIPAL,6.00,473567.00,78928.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,131018.00,131018.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,34500,TEACHER SUPERVISOR,3.00,190285.00,63428.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,39998,TOTAL ADMINISTRATIVE STAFF,24.00,1869698.00,77904.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,39999,TOTAL PROFESSIONAL STAFF,327.12,15322785.00,46842.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,41700,EDUCATIONAL AIDE,65.72,1049407.00,15967.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,49998,TOTAL PARAPROFESSIONAL STAFF,65.72,1049407.00,15967.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,50000,AUXILIARY,92.12,2392901.00,25975.00
7,ANDERSON COUNTY,1907,PALESTINE ISD,99999,TOTAL PERSONNEL,484.96,18765093.00,38694.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10002,PRE-KINDERGARTEN,2.00,98550.00,49275.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10003,KINDERGARTEN,7.33,298148.00,40657.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10005,KINDERGARTEN/ELEMENTARY (K-6),0.56,27928.00,49650.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10006,ELEMENTARY (GRADES 1-6),1.96,69615.00,35525.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),4.12,145249.00,35221.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10009,ALL GRADE LEVELS,11.82,492221.00,41645.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10012,GRADE 1,9.84,395926.00,40227.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10013,GRADE 2,8.21,336986.00,41056.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10014,GRADE 3,6.61,287688.00,43552.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10015,GRADE 4,6.68,269506.00,40351.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10016,GRADE 5,5.94,226862.00,38183.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10017,GRADE 6,8.40,332415.00,39553.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10018,GRADE 7,7.64,325084.00,42567.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10019,GRADE 8,6.41,297383.00,46399.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,10020,GRADES 9-12,41.65,1834254.00,44043.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,19998,TOTAL TEACHING STAFF,129.17,5437815.00,42097.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,21300,COUNSELOR,4.00,216686.00,54172.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,21800,EDUCATIONAL DIAGNOSTICIAN,1.00,59684.00,59684.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,22100,LIBRARIAN,1.00,49652.00,49652.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,22800,OTHR NON-INSTR DISTRICT,4.00,193144.00,48286.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,23500,SCHOOL NURSE,2.00,74640.00,37320.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,29998,TOTAL SUPPORT STAFF,12.00,593806.00,49484.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,30200,ASSISTANT PRINCIPAL,2.00,114101.00,57051.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,30500,ATHLETIC DIRECTOR,0.28,38393.00,137511.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,30800,BUSINESS MANAGER,1.00,63860.00,63860.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,31600,DIST INSTR PGM DIR OR EXC DIR,1.00,69525.00,69525.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,33100,PRINCIPAL,5.00,354251.00,70850.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,135933.00,135933.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,39998,TOTAL ADMINISTRATIVE STAFF,10.28,776063.00,75498.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,39999,TOTAL PROFESSIONAL STAFF,151.45,6807684.00,44950.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,41700,EDUCATIONAL AIDE,24.97,427105.00,17102.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,49998,TOTAL PARAPROFESSIONAL STAFF,24.97,427105.00,17102.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,50000,AUXILIARY,49.70,1173743.00,23616.00
7,ANDERSON COUNTY,1908,WESTWOOD ISD,99999,TOTAL PERSONNEL,226.13,8408532.00,37185.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10002,PRE-KINDERGARTEN,2.46,115024.00,46798.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10003,KINDERGARTEN,3.44,149921.00,43541.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10006,ELEMENTARY (GRADES 1-6),0.86,34113.00,39492.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),0.79,34640.00,44060.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10012,GRADE 1,2.30,114014.00,49485.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10013,GRADE 2,2.06,93226.00,45330.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10014,GRADE 3,2.06,97196.00,47279.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10015,GRADE 4,2.81,117803.00,41998.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10016,GRADE 5,2.53,110011.00,43428.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10017,GRADE 6,2.58,111015.00,42971.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10018,GRADE 7,2.17,97673.00,44961.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10019,GRADE 8,1.77,80404.00,45408.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,10020,GRADES 9-12,11.92,519889.00,43629.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,19998,TOTAL TEACHING STAFF,37.75,1674929.00,44371.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,21300,COUNSELOR,1.00,49689.00,49689.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,22100,LIBRARIAN,1.00,42692.00,42692.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,29998,TOTAL SUPPORT STAFF,2.00,92381.00,46191.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,30800,BUSINESS MANAGER,1.00,55785.00,55785.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,33100,PRINCIPAL,2.00,135020.00,67510.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,34000,SUPERINTENDENT/CAO/CEO/PRESDNT,1.00,88700.00,88700.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,39998,TOTAL ADMINISTRATIVE STAFF,4.00,279505.00,69876.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,39999,TOTAL PROFESSIONAL STAFF,43.75,2046815.00,46786.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,50000,AUXILIARY,15.74,319454.00,20298.00
7,ANDERSON COUNTY,1909,SLOCUM ISD,99999,TOTAL PERSONNEL,59.49,2366269.00,39778.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10002,PRE-KINDERGARTEN,2.93,169868.00,57968.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10003,KINDERGARTEN,18.06,971987.00,53822.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10005,KINDERGARTEN/ELEMENTARY (K-6),1.50,78774.00,52572.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10006,ELEMENTARY (GRADES 1-6),4.80,300876.00,62683.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10007,MIDDLE SCHOOL (GRADES 6 - 8),4.53,290580.00,64191.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10009,ALL GRADE LEVELS,24.18,1327367.00,54897.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10011,NOT APPLICABLE,4.01,253883.00,63245.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10012,GRADE 1,19.62,1054295.00,53742.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10013,GRADE 2,18.62,959452.00,51519.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10014,GRADE 3,17.02,940324.00,55262.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10015,GRADE 4,17.25,907521.00,52624.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10016,GRADE 5,19.34,1008475.00,52144.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10017,GRADE 6,15.40,875678.00,56871.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10018,GRADE 7,12.99,747540.00,57548.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10019,GRADE 8,13.09,723202.00,55258.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,10020,GRADES 9-12,75.66,4495454.00,59413.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,19998,TOTAL TEACHING STAFF,268.99,15105276.00,56156.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,20600,ATHLETIC TRAINER,1.14,59564.00,52117.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,21300,COUNSELOR,7.03,523940.00,74513.00
18,ANDREWS COUNTY,2901,ANDREWS ISD,21800,EDUCATIONAL DIAGNOSTICIAN,4.00,265579.00,66395.00
